127.0.0.1 - - [04/Aug/2021:04:18:14 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:18:15 +0300] "GET /42-CRMProjectRest/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:18:15 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:19:44 +0300] "GET /42-CRMProjectRest/customer/showFormForUpdate?customerId=2 HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:19:56 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:19:58 +0300] "GET /42-CRMProjectRest/customer/showFormForUpdate?customerId=10 HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:19:59 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:03 +0300] "GET /42-CRMProjectRest/customer/showFormForAdd HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:05 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:11 +0300] "GET /42-CRMProjectRest/customer/delete?customerId=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:11 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:15 +0300] "GET /42-CRMProjectRest/customer/showFormForUpdate?customerId=3 HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:19 +0300] "POST /42-CRMProjectRest/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:19 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:38 +0300] "GET /42-CRMProjectRest/customer/showFormForAdd HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:49 +0300] "POST /42-CRMProjectRest/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:49 +0300] "GET /42-CRMProjectRest/customer/list HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:20:57 +0300] "GET /42-CRMProjectRest/customer/showFormForAdd HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [04/Aug/2021:04:21:22 +0300] "GET /42-CRMProjectRest/customer/showFormForAdd HTTP/1.1" 200 1209
